draw,n_wells,axis_1,axis_2,axis_3
190,12,0.8486477882246651,0.0694621767085993,0.04518291384089627
191,12,0.6249081823794467,0.22376158054162373,0.06920188687019938
192,12,0.4660918150830037,0.30614459438598035,0.11288164602478426
193,12,0.8466625270946702,0.1006147793241415,0.028136948130127563
194,12,0.7605626272924305,0.12463739298821974,0.06541619182778485
195,12,0.4674659183269269,0.2674428757676986,0.1610970470900955
196,12,0.5802350990918075,0.22039324089353146,0.09907329540121997
197,12,0.8337779749761233,0.09167692107622445,0.035134858069478594
198,12,0.7324626726697266,0.17576334175505495,0.0503556532397653
199,12,0.5815186938968484,0.20948524324235754,0.10103643692855545
200,12,0.5896816492492004,0.21007864965710663,0.14446964480408328
201,12,0.5384093147643273,0.3359162578621772,0.0752147497720683
202,12,0.8256307337948735,0.10374367314834676,0.03932395189543052
203,12,0.8168448543409387,0.08090116434196215,0.05339476940557713
204,12,0.6109249136006742,0.20355786143200455,0.1145762064656461
205,12,0.8094477970082823,0.11551239034916624,0.043093496613796495
206,12,0.6054201468458199,0.1434319242167106,0.12925269014789567
207,12,0.48069748115358424,0.23841950204161877,0.1486089145500064
208,12,0.5814519158895505,0.19454016911027924,0.13346683399677536
209,12,0.7398103623484653,0.11868849829801195,0.06858820282746132
210,12,0.8473137000935786,0.06722967658633862,0.04195549823864551
211,12,0.4361738992524073,0.28585753963679505,0.12653047372456155
212,12,0.40283455581522254,0.30908908126703316,0.2063814692760245
213,12,0.8307058484649551,0.09317483080003999,0.04137371758776104
214,12,0.7158203569655266,0.1730686326343249,0.056163900202566626
215,12,0.7336906002465419,0.1418764624022452,0.07434228597313397
216,12,0.7450428722402599,0.16322213157632137,0.04558697877777284
217,12,0.4129801337221522,0.28888806887490814,0.22195245698697136
218,12,0.5464144577904402,0.3414282313371538,0.06443829302821591
219,12,0.836831265791643,0.0918132404132571,0.046150151204339206
220,12,0.5528048606447011,0.23839510528991503,0.11518088031827134
221,12,0.8155975936310031,0.09660006737426767,0.049222716219364714
222,12,0.48787644762801174,0.27971741403543177,0.1535719995668609
223,12,0.5082547640213508,0.2633530990431184,0.16454398007460053
224,12,0.774250499411993,0.1201185078011718,0.06275348655543166
225,12,0.5786176294852752,0.23157582274118374,0.09810118154258193
226,12,0.4696650047065237,0.269179241606804,0.1694967296183652
227,12,0.5851046459632712,0.21267506266675829,0.10593327323079836
228,12,0.3998509832791341,0.36164112972333395,0.1638524968856156
229,12,0.5965128900182513,0.2050486813748016,0.128197306424274
230,12,0.7354668544831752,0.1376530231897066,0.07825320749053051
231,12,0.45367730068066286,0.29866527020581013,0.17861372128607808
232,12,0.8027885431408609,0.12318964654441304,0.03493869830188449
233,12,0.7359155294083952,0.16418422775965957,0.04868184650478681
234,12,0.8171304154317561,0.0867527873734536,0.048051250055635535
235,12,0.3875242606420988,0.31687703804957457,0.18851649311709368
236,12,0.8899034230369417,0.06369691339915959,0.031803403614656195
237,12,0.6326707333751108,0.2080719689907769,0.1047962036802875
238,12,0.4283183246768329,0.22790139799549064,0.15859890878599928
239,12,0.45111749270000845,0.35926694005354404,0.10881062020269565
240,12,0.5592573002013267,0.27099579187932027,0.09558263851140218
241,12,0.6996422530172262,0.16346032275250624,0.08258128108214836
242,12,0.6133981992284588,0.20431994005141915,0.10253816523462315
243,12,0.6712995238093539,0.16790189755694224,0.08155476182522031
244,12,0.7236569763861539,0.1401663095885559,0.061200717062091
245,12,0.8405215938272126,0.07599930966367195,0.0555248059862472
246,12,0.6700682600295593,0.15720411948940202,0.11704779758485666
247,12,0.6414747382949811,0.23579706118518995,0.06379587680359404
248,12,0.4537911821465885,0.25231630509076464,0.13180753969160883
249,12,0.7682755301084644,0.10696601580245392,0.07342949736523026
250,12,0.7918448992209474,0.09352830615911989,0.04859705248881669
