cohort,target,temperature,timepoint,n_wells,axis,shared_dim,loading,variance_ratio
atf6 | 34C | 30hpf,atf6,34,30,12,cohort_PC2,G00,0.28702884585807165,0.14643766595879598
atf6 | 34C | 30hpf,atf6,34,30,12,cohort_PC2,G01,0.8725992488396711,0.14643766595879598
atf6 | 34C | 30hpf,atf6,34,30,12,cohort_PC2,G02,-0.2764090501814356,0.14643766595879598
atf6 | 34C | 30hpf,atf6,34,30,12,cohort_PC2,G03,0.14639101602315086,0.14643766595879598
atf6 | 34C | 30hpf,atf6,34,30,12,cohort_PC2,G04,-0.24156303520061187,0.14643766595879598
atf6 | 34C | 36hpf,atf6,34,36,11,cohort_PC1,G00,0.6095116946842556,0.8553684370116874
atf6 | 34C | 36hpf,atf6,34,36,11,cohort_PC1,G01,-0.1693655918655399,0.8553684370116874
atf6 | 34C | 36hpf,atf6,34,36,11,cohort_PC1,G02,0.5886893554193032,0.8553684370116874
atf6 | 34C | 36hpf,atf6,34,36,11,cohort_PC1,G03,0.4835111172895481,0.8553684370116874
atf6 | 34C | 36hpf,atf6,34,36,11,cohort_PC1,G04,0.13954437505173714,0.8553684370116874
atf6 | 34C | 36hpf,atf6,34,36,11,cohort_PC2,G00,-0.3276583427357307,0.08559115618754062
atf6 | 34C | 36hpf,atf6,34,36,11,cohort_PC2,G01,0.7409115817791491,0.08559115618754062
atf6 | 34C | 36hpf,atf6,34,36,11,cohort_PC2,G02,0.5292211132701832,0.08559115618754062
atf6 | 34C | 36hpf,atf6,34,36,11,cohort_PC2,G03,0.09559208007668074,0.08559115618754062
atf6 | 34C | 36hpf,atf6,34,36,11,cohort_PC2,G04,-0.23340352593068314,0.08559115618754062
atf6 | 35C | 24hpf,atf6,35,24,11,cohort_PC1,G00,0.8709305142809866,0.5881629942480724
atf6 | 35C | 24hpf,atf6,35,24,11,cohort_PC1,G01,-0.017862426796941777,0.5881629942480724
atf6 | 35C | 24hpf,atf6,35,24,11,cohort_PC1,G02,0.3905067748236642,0.5881629942480724
atf6 | 35C | 24hpf,atf6,35,24,11,cohort_PC1,G03,-0.1499460418868141,0.5881629942480724
atf6 | 35C | 24hpf,atf6,35,24,11,cohort_PC1,G04,-0.25725787906783126,0.5881629942480724
atf6 | 35C | 24hpf,atf6,35,24,11,cohort_PC2,G00,-0.1287279781378728,0.2585646381213327
atf6 | 35C | 24hpf,atf6,35,24,11,cohort_PC2,G01,0.6422138042343459,0.2585646381213327
atf6 | 35C | 24hpf,atf6,35,24,11,cohort_PC2,G02,0.5343647959280621,0.2585646381213327
atf6 | 35C | 24hpf,atf6,35,24,11,cohort_PC2,G03,0.5339123956005213,0.2585646381213327
atf6 | 35C | 24hpf,atf6,35,24,11,cohort_PC2,G04,0.0195539252391613,0.2585646381213327
atf6 | 35C | 30hpf,atf6,35,30,11,cohort_PC1,G00,0.41133021307164974,0.6470211544526457
atf6 | 35C | 30hpf,atf6,35,30,11,cohort_PC1,G01,-0.03654885371059635,0.6470211544526457
