scope,experiment_id,qc_path,qc_present_at_snapshot,qc_size_bytes,qc_mtime,read_status,read_error,raw_row_count,analyzed_row_count
Keyence,20240726,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240726/snip_qc/20240726_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20240813_24hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240813_24hpf/snip_qc/20240813_24hpf_snip_qc.parquet,True,13536,2026-07-27T15:03:45.692616-07:00,read,,48,48
Keyence,20240813_30hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240813_30hpf/snip_qc/20240813_30hpf_snip_qc.parquet,True,13712,2026-07-27T15:02:10.108516-07:00,read,,50,50
Keyence,20240813_36hpf,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240813_36hpf/snip_qc/20240813_36hpf_snip_qc.parquet,True,13752,2026-07-27T18:45:14.107174-07:00,read,,50,50
Keyence,20240813_extras,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20240813_extras/snip_qc/20240813_extras_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250622_chem_28C_T00_1425,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250622_chem_28C_T00_1425/snip_qc/20250622_chem_28C_T00_1425_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250622_chem_28C_T01_1658,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250622_chem_28C_T01_1658/snip_qc/20250622_chem_28C_T01_1658_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250622_chem_34C_T00_1256,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250622_chem_34C_T00_1256/snip_qc/20250622_chem_34C_T00_1256_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250622_chem_34C_T01_1632,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250622_chem_34C_T01_1632/snip_qc/20250622_chem_34C_T01_1632_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250622_chem_35C_T00_1223_check,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250622_chem_35C_T00_1223_check/snip_qc/20250622_chem_35C_T00_1223_check_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250622_chem_35C_T01_1605,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250622_chem_35C_T01_1605/snip_qc/20250622_chem_35C_T01_1605_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250623_chem_28C_T02_1259,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250623_chem_28C_T02_1259/snip_qc/20250623_chem_28C_T02_1259_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250623_chem_34C_T02_1231,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250623_chem_34C_T02_1231/snip_qc/20250623_chem_34C_T02_1231_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250623_chem_35C_T02_1204,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250623_chem_35C_T02_1204/snip_qc/20250623_chem_35C_T02_1204_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250624_chem02_28C_T00_1356,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250624_chem02_28C_T00_1356/snip_qc/20250624_chem02_28C_T00_1356_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250624_chem02_28C_T01_1808,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250624_chem02_28C_T01_1808/snip_qc/20250624_chem02_28C_T01_1808_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250624_chem02_34C_T00_1243,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250624_chem02_34C_T00_1243/snip_qc/20250624_chem02_34C_T00_1243_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250624_chem02_34C_T01_1739,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250624_chem02_34C_T01_1739/snip_qc/20250624_chem02_34C_T01_1739_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250624_chem02_35C_T00_1216,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250624_chem02_35C_T00_1216/snip_qc/20250624_chem02_35C_T00_1216_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250624_chem02_35C_T01_1711,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250624_chem02_35C_T01_1711/snip_qc/20250624_chem02_35C_T01_1711_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250625_chem02_28C_T02_1332,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250625_chem02_28C_T02_1332/snip_qc/20250625_chem02_28C_T02_1332_snip_qc.parquet,False,0,,missing,,0,0
Keyence,20250625_chem02_34C_T02_1301,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/quality_control/20250625_chem02_34C_T02_1301/snip_qc/20250625_chem02_34C_T02_1301_snip_qc.parquet,False,0,,missing,,0,0
