scope,experiment_id,flag,triggered_timepoint_count,trigger_rate_all_timepoints
YX1,20250711,edge_flag,1387,0.07032398722303909
YX1,20250711,focus_flag,5265,0.26694721898291335
YX1,20250711,motion_blur_flag,626,0.03173959336814886
YX1,20250711,overlapping_mask_flag,1960,0.09937636262231912
YX1,20250711,persistence_dead_flag,3103,0.15732900674339603
YX1,20250711,sa_outlier_flag,5225,0.2649191299498048
YX1,20250711,viability_dead_flag,2799,0.14191553009177102
YX1,20250912,discontinuous_mask_flag,382,0.024531209863858205
YX1,20250912,edge_flag,0,0.0
YX1,20250912,focus_flag,9699,0.6228487027998972
YX1,20250912,motion_blur_flag,1267,0.08136398664269201
YX1,20250912,overlapping_mask_flag,1482,0.09517081941947085
YX1,20250912,persistence_dead_flag,9595,0.6161700488055484
YX1,20250912,sa_outlier_flag,10990,0.705753917287439
YX1,20250912,viability_dead_flag,9452,0.6069868995633187
YX1,20251017_part1,discontinuous_mask_flag,48,0.007065057403591404
YX1,20251017_part1,edge_flag,1011,0.14880777156314395
YX1,20251017_part1,focus_flag,987,0.14527524286134824
YX1,20251017_part1,motion_blur_flag,606,0.08919634972034148
YX1,20251017_part1,overlapping_mask_flag,46,0.006770680011775096
YX1,20251017_part1,persistence_dead_flag,54,0.00794818957904033
YX1,20251017_part1,sa_outlier_flag,1139,0.16764792463938769
YX1,20251017_part1,viability_dead_flag,73,0.010744774801295261
YX1,20251112,discontinuous_mask_flag,103,0.014733228436561293
YX1,20251112,edge_flag,1679,0.2401659276212273
YX1,20251112,focus_flag,1562,0.22343012444571592
YX1,20251112,motion_blur_flag,410,0.05864683164068087
YX1,20251112,overlapping_mask_flag,751,0.10742383063939351
YX1,20251112,persistence_dead_flag,177,0.02531826634244028
YX1,20251112,sa_outlier_flag,2126,0.3041052782148477
YX1,20251112,viability_dead_flag,147,0.021027034758975827
YX1,20251119,discontinuous_mask_flag,2,0.00019157088122605365
YX1,20251119,edge_flag,352,0.03371647509578544
YX1,20251119,focus_flag,889,0.08515325670498085
YX1,20251119,motion_blur_flag,2651,0.2539272030651341
YX1,20251119,overlapping_mask_flag,0,0.0
YX1,20251119,persistence_dead_flag,827,0.07921455938697318
YX1,20251119,sa_outlier_flag,6448,0.617624521072797
YX1,20251119,viability_dead_flag,802,0.0768199233716475
YX1,20251205,discontinuous_mask_flag,168,0.013668537954600928
YX1,20251205,edge_flag,1317,0.10715157432267512
YX1,20251205,focus_flag,1334,0.1085347001871288
YX1,20251205,motion_blur_flag,2046,0.166463265804247
YX1,20251205,overlapping_mask_flag,1444,0.11748433813359369
YX1,20251205,persistence_dead_flag,586,0.04767716215116752
YX1,20251205,sa_outlier_flag,2856,0.23236514522821577
YX1,20251205,viability_dead_flag,564,0.04588723456187454
YX1,20251207_pbx,discontinuous_mask_flag,48,0.0032520325203252032
YX1,20251207_pbx,edge_flag,197,0.013346883468834688
YX1,20251207_pbx,focus_flag,5510,0.37330623306233063
YX1,20251207_pbx,motion_blur_flag,1196,0.08102981029810298
YX1,20251207_pbx,overlapping_mask_flag,266,0.018021680216802168
YX1,20251207_pbx,persistence_dead_flag,1937,0.13123306233062332
YX1,20251207_pbx,sa_outlier_flag,4817,0.3263550135501355
YX1,20251207_pbx,viability_dead_flag,2549,0.17269647696476964
YX1,20251212,discontinuous_mask_flag,10,0.0008743551630672379
YX1,20251212,edge_flag,347,0.030340124158433155
YX1,20251212,focus_flag,2808,0.24551892978928042
YX1,20251212,motion_blur_flag,3206,0.2803182652793565
YX1,20251212,overlapping_mask_flag,186,0.016263006033050625
YX1,20251212,persistence_dead_flag,2774,0.2425461222348518
YX1,20251212,sa_outlier_flag,3199,0.2797062166652094
YX1,20251212,viability_dead_flag,2408,0.21054472326659088
YX1,20260122,discontinuous_mask_flag,619,0.03079908448601851
YX1,20260122,edge_flag,3883,0.1932033038113245
YX1,20260122,focus_flag,4947,0.2461438949149169
YX1,20260122,motion_blur_flag,1914,0.09523335655289084
YX1,20260122,overlapping_mask_flag,1664,0.08279430789133248
YX1,20260122,persistence_dead_flag,1388,0.06906159816897203
YX1,20260122,sa_outlier_flag,7039,0.3502338541148373
YX1,20260122,viability_dead_flag,1358,0.06756891232958503
YX1,20260202,discontinuous_mask_flag,165,0.00973853508823703
YX1,20260202,edge_flag,1,5.902142477719412e-05
YX1,20260202,focus_flag,2064,0.12182022074012867
YX1,20260202,motion_blur_flag,3700,0.21837927167561824
YX1,20260202,overlapping_mask_flag,3666,0.21637254323319366
YX1,20260202,persistence_dead_flag,429,0.025320191229416276
YX1,20260202,sa_outlier_flag,7080,0.4178716874225344
YX1,20260202,viability_dead_flag,466,0.02750398394617246
YX1,20260206,discontinuous_mask_flag,86,0.005850340136054422
YX1,20260206,edge_flag,481,0.03272108843537415
YX1,20260206,focus_flag,1076,0.07319727891156462
YX1,20260206,motion_blur_flag,583,0.03965986394557823
YX1,20260206,overlapping_mask_flag,284,0.019319727891156463
YX1,20260206,persistence_dead_flag,1402,0.09537414965986395
YX1,20260206,sa_outlier_flag,1582,0.10761904761904761
YX1,20260206,viability_dead_flag,1066,0.07251700680272109
YX1,20260208,discontinuous_mask_flag,138,0.004356060606060606
YX1,20260208,edge_flag,1030,0.032512626262626264
YX1,20260208,focus_flag,4753,0.15003156565656567
YX1,20260208,motion_blur_flag,8046,0.2539772727272727
YX1,20260208,overlapping_mask_flag,320,0.010101010101010102
YX1,20260208,persistence_dead_flag,5643,0.178125
YX1,20260208,sa_outlier_flag,24031,0.7585542929292929
YX1,20260208,viability_dead_flag,4556,0.1438131313131313
YX1,20260210,discontinuous_mask_flag,58,0.0036496350364963502
YX1,20260210,edge_flag,2243,0.14114019632519506
YX1,20260210,focus_flag,3952,0.2486785804178203
YX1,20260210,motion_blur_flag,532,0.03347596274855273
YX1,20260210,overlapping_mask_flag,418,0.026302542159577145
YX1,20260210,persistence_dead_flag,491,0.030896048326201863
YX1,20260210,sa_outlier_flag,3590,0.22589982381072238
YX1,20260210,viability_dead_flag,601,0.03781776994714322
YX1,20260228,discontinuous_mask_flag,183,0.010757112626381378
YX1,20260228,edge_flag,1700,0.09992946155654832
YX1,20260228,focus_flag,3778,0.2220785328003762
YX1,20260228,motion_blur_flag,1639,0.09634375734775452
YX1,20260228,overlapping_mask_flag,755,0.0443804373383494
YX1,20260228,persistence_dead_flag,1124,0.06607100869974136
YX1,20260228,sa_outlier_flag,5581,0.32806254408652713
YX1,20260228,viability_dead_flag,1023,0.060134023042558195
YX1,20260306,discontinuous_mask_flag,699,0.02590904036472812
YX1,20260306,edge_flag,5344,0.19807998813892286
YX1,20260306,focus_flag,8572,0.3177286037288261
YX1,20260306,motion_blur_flag,7566,0.2804403424886022
YX1,20260306,overlapping_mask_flag,797,0.029541495237036215
YX1,20260306,persistence_dead_flag,4393,0.1628303495311168
YX1,20260306,sa_outlier_flag,14996,0.5558397271952259
YX1,20260306,viability_dead_flag,6209,0.23014196226694836
YX1,20260410_otx_pilot,discontinuous_mask_flag,2212,0.03447792134919027
YX1,20260410_otx_pilot,edge_flag,256,0.003990211512383684
YX1,20260410_otx_pilot,focus_flag,43269,0.6744236794114438
YX1,20260410_otx_pilot,motion_blur_flag,12232,0.1906572938260829
YX1,20260410_otx_pilot,overlapping_mask_flag,14000,0.2182146920834827
YX1,20260410_otx_pilot,persistence_dead_flag,46231,0.7205916735508207
YX1,20260410_otx_pilot,sa_outlier_flag,45315,0.7063141979830728
YX1,20260410_otx_pilot,viability_dead_flag,42448,0.6616269463971196
YX1,20260414_sci_b9d2_48hpf_plate01,discontinuous_mask_flag,48,0.007259528130671506
YX1,20260414_sci_b9d2_48hpf_plate01,edge_flag,1231,0.18617664851784635
YX1,20260414_sci_b9d2_48hpf_plate01,focus_flag,288,0.043557168784029036
YX1,20260414_sci_b9d2_48hpf_plate01,motion_blur_flag,1058,0.1600120992135511
