"cohort","n_embryos","cell_type","term","estimate"
"atf6 | 24C | 24hpf",10,"cohort_PC1","fast muscle myoblast, fast muscle tissue",-0.212451859622215
"atf6 | 24C | 24hpf",10,"cohort_PC2","fast muscle myoblast, fast muscle tissue",-0.172336209299058
"atf6 | 24C | 24hpf",10,"(Intercept)","fibroblast, meninx",-8.3929228623088
"atf6 | 24C | 24hpf",10,"cohort_PC1","fibroblast, meninx",-10.3423042108474
"atf6 | 24C | 24hpf",10,"cohort_PC2","fibroblast, meninx",-4.59962778023089
"atf6 | 24C | 24hpf",10,"(Intercept)","fibroblast, meninx (slc47a2.1+)",-1.26721147165994
"atf6 | 24C | 24hpf",10,"cohort_PC1","fibroblast, meninx (slc47a2.1+)",-0.817697277280972
"atf6 | 24C | 24hpf",10,"cohort_PC2","fibroblast, meninx (slc47a2.1+)",-0.884125425216696
"atf6 | 24C | 24hpf",10,"(Intercept)","GABAergic neuron, forebrain",1.39606555844508
"atf6 | 24C | 24hpf",10,"cohort_PC1","GABAergic neuron, forebrain",0.282890971032747
"atf6 | 24C | 24hpf",10,"cohort_PC2","GABAergic neuron, forebrain",0.430077317583471
"atf6 | 24C | 24hpf",10,"(Intercept)","GABAergic neuron, tegmentum (midbrain-hindbrain boundary)",-1.33622439105679
"atf6 | 24C | 24hpf",10,"cohort_PC1","GABAergic neuron, tegmentum (midbrain-hindbrain boundary)",0.0463958921747464
"atf6 | 24C | 24hpf",10,"cohort_PC2","GABAergic neuron, tegmentum (midbrain-hindbrain boundary)",-2.11250295232564
"atf6 | 24C | 24hpf",10,"(Intercept)","GABAergic neuron, telencephalon (lhx6+)",-8.24039391173186
"atf6 | 24C | 24hpf",10,"cohort_PC1","GABAergic neuron, telencephalon (lhx6+)",-7.61075488107095
"atf6 | 24C | 24hpf",10,"cohort_PC2","GABAergic neuron, telencephalon (lhx6+)",16.8863143699723
"atf6 | 24C | 24hpf",10,"(Intercept)","glial cell, floor plate (hpgd+)",-2.09409274397413
"atf6 | 24C | 24hpf",10,"cohort_PC1","glial cell, floor plate (hpgd+)",1.53008094785629
"atf6 | 24C | 24hpf",10,"cohort_PC2","glial cell, floor plate (hpgd+)",4.99189945938691
"atf6 | 24C | 24hpf",10,"(Intercept)","glial cell, floor plate (pappaa+)",2.47478464053257
"atf6 | 24C | 24hpf",10,"cohort_PC1","glial cell, floor plate (pappaa+)",-0.219567201629968
"atf6 | 24C | 24hpf",10,"cohort_PC2","glial cell, floor plate (pappaa+)",-0.00167363683231987
"atf6 | 24C | 24hpf",10,"(Intercept)","glial cell, optic stalk",2.42893365705619
"atf6 | 24C | 24hpf",10,"cohort_PC1","glial cell, optic stalk",0.39639114774781
"atf6 | 24C | 24hpf",10,"cohort_PC2","glial cell, optic stalk",0.395726778236731
"atf6 | 24C | 24hpf",10,"(Intercept)","glutamatergic neuron, forebrain",1.1338212847905
"atf6 | 24C | 24hpf",10,"cohort_PC1","glutamatergic neuron, forebrain",0.263683523751343
"atf6 | 24C | 24hpf",10,"cohort_PC2","glutamatergic neuron, forebrain",-0.447346006730655
"atf6 | 24C | 24hpf",10,"(Intercept)","glutamatergic neuron, hindbrain (anterior, pitx2+)",-7.15218818233623
"atf6 | 24C | 24hpf",10,"cohort_PC1","glutamatergic neuron, hindbrain (anterior, pitx2+)",6.38926976700869
"atf6 | 24C | 24hpf",10,"cohort_PC2","glutamatergic neuron, hindbrain (anterior, pitx2+)",18.7423390051282
"atf6 | 24C | 24hpf",10,"(Intercept)","glutamatergic neuron, hindbrain (anterior)",-4.64575176176363
"atf6 | 24C | 24hpf",10,"cohort_PC1","glutamatergic neuron, hindbrain (anterior)",5.1228520120771
"atf6 | 24C | 24hpf",10,"cohort_PC2","glutamatergic neuron, hindbrain (anterior)",12.4795355875485
"atf6 | 24C | 24hpf",10,"(Intercept)","glutamatergic neuron, hindbrain (lateral)",-1.90700309990905
"atf6 | 24C | 24hpf",10,"cohort_PC1","glutamatergic neuron, hindbrain (lateral)",-1.7757738612226
"atf6 | 24C | 24hpf",10,"cohort_PC2","glutamatergic neuron, hindbrain (lateral)",1.04042893010806
"atf6 | 24C | 24hpf",10,"(Intercept)","glutamatergic neuron, hindbrain (lhx9+)",-6.88660204064271
"atf6 | 24C | 24hpf",10,"cohort_PC1","glutamatergic neuron, hindbrain (lhx9+)",9.49838164743736
"atf6 | 24C | 24hpf",10,"cohort_PC2","glutamatergic neuron, hindbrain (lhx9+)",15.0405185972933
"atf6 | 24C | 24hpf",10,"(Intercept)","glutamatergic neuron, medulla oblongata (phox2bb+)",-4.47183275521725
"atf6 | 24C | 24hpf",10,"cohort_PC1","glutamatergic neuron, medulla oblongata (phox2bb+)",-6.32146539364928
"atf6 | 24C | 24hpf",10,"cohort_PC2","glutamatergic neuron, medulla oblongata (phox2bb+)",4.07326058560758
"atf6 | 24C | 24hpf",10,"(Intercept)","glutamatergic neuron, spinal cord",-1.09691238403276
"atf6 | 24C | 24hpf",10,"cohort_PC1","glutamatergic neuron, spinal cord",-0.487333782701773
"atf6 | 24C | 24hpf",10,"cohort_PC2","glutamatergic neuron, spinal cord",-3.31262315322958
"atf6 | 24C | 24hpf",10,"(Intercept)","glutamatergic neuron, spinal cord (gpr139+)",-6.88660204064271
"atf6 | 24C | 24hpf",10,"cohort_PC1","glutamatergic neuron, spinal cord (gpr139+)",9.49838164743736
"atf6 | 24C | 24hpf",10,"cohort_PC2","glutamatergic neuron, spinal cord (gpr139+)",15.0405185972933
"atf6 | 24C | 24hpf",10,"(Intercept)","glutamatergic neuron, spinal cord (V2a, chata+)",-1.94598950065279
"atf6 | 24C | 24hpf",10,"cohort_PC1","glutamatergic neuron, spinal cord (V2a, chata+)",-1.14607497121083
"atf6 | 24C | 24hpf",10,"cohort_PC2","glutamatergic neuron, spinal cord (V2a, chata+)",-2.66475765052838
"atf6 | 24C | 24hpf",10,"(Intercept)","glutamatergic neuron, subthalamic nucleus (differentiating)",-5.45486301692473
"atf6 | 24C | 24hpf",10,"cohort_PC1","glutamatergic neuron, subthalamic nucleus (differentiating)",-8.92659436605519
"atf6 | 24C | 24hpf",10,"cohort_PC2","glutamatergic neuron, subthalamic nucleus (differentiating)",9.44287598215512
"atf6 | 24C | 24hpf",10,"(Intercept)","glutamatergic neuron, telencephalon (proximal to olfactory bulb)",-0.749879078397298
"atf6 | 24C | 24hpf",10,"cohort_PC1","glutamatergic neuron, telencephalon (proximal to olfactory bulb)",0.109229161564717
"atf6 | 24C | 24hpf",10,"cohort_PC2","glutamatergic neuron, telencephalon (proximal to olfactory bulb)",0.468508782836478
"atf6 | 24C | 24hpf",10,"(Intercept)","hatching gland cell, hatching gland",-3.86029092644318
"atf6 | 24C | 24hpf",10,"cohort_PC1","hatching gland cell, hatching gland",2.65392000045036
"atf6 | 24C | 24hpf",10,"cohort_PC2","hatching gland cell, hatching gland",12.4024355836112
"atf6 | 24C | 24hpf",10,"(Intercept)","hatching gland cell, polster",3.11071342007057
"atf6 | 24C | 24hpf",10,"cohort_PC1","hatching gland cell, polster",-0.379929921790392
"atf6 | 24C | 24hpf",10,"cohort_PC2","hatching gland cell, polster",-0.356747017963011
