"contrast","arm","n_embryos","n_crispant","n_dropped","n_cell_types","t_observed","t_null_mean","t_null_sd","t_std","p_global","d_shrunk","n_hits_q10","n_hits_q05","max_abs_logfc"
"ctcf vs ctrl | 24C | 30hpf","s_within_crispant",22,10,2,31,33.9783269323288,30.9937143283329,8.38599242273114,0.355904519530187,0.316341829085457,3.66500290764818,0,0,0.467828022722547
"ctcf vs ctrl | 24C | 30hpf","escaper_vs_control",19,7,2,31,81.3862562474393,30.9939634547904,12.5152667307184,4.02646574594869,0.00249875062468766,5.25316164418782,10,9,0.83718160662731
"ctcf vs ctrl | 24C | 36hpf","binary_z",24,12,0,44,202.45801137536,43.9952225352394,15.6136337388375,10.1490012825111,0.000499750124937531,6.30996150633012,19,17,0.963050200232444
"ctcf vs ctrl | 24C | 36hpf","s_z",24,12,0,44,131.281354889499,44.0067527017813,15.819449890888,5.51691764186997,0.000999500249875062,5.82826376018625,15,14,0.478654843713466
"ctcf vs ctrl | 24C | 36hpf","hinge_z",24,12,0,44,129.116596474798,44.0029818887965,16.2063731627088,5.25186071747682,0.00149925037481259,5.73039252601478,16,14,0.47868391761224
"ctcf vs ctrl | 24C | 36hpf","s_within_control",24,12,0,44,50.3804175847194,44.0039432594833,11.8482649309255,0.538177898824043,0.239380309845077,4.01541259357718,0,0,0.659217842405543
"ctcf vs ctrl | 24C | 36hpf","s_within_crispant",24,12,0,44,61.7574492313051,43.9957843977267,10.6562077043872,1.66679041234021,0.0619690154922539,4.25245560747955,0,0,0.256875616859678
"ctcf vs ctrl | 24C | 36hpf","escaper_vs_control",17,5,0,44,116.297956963014,43.9929639250593,13.7766581579338,5.2483695399174,0.000999500249875062,5.1699724920274,13,7,2.15920642798313
"ctcf vs ctrl | 24C | 36hpf","severe_vs_control",19,7,0,44,160.233635930519,43.997581700754,14.7221610510853,7.89531196041328,0.000499750124937531,5.65891228367958,19,16,1.70790704616685
"ctcf vs ctrl | 24C | 36hpf","severe_vs_escaper",12,7,0,44,44.2925725713157,44.0006740070988,9.87639554599064,0.0295551715054,0.43728135932034,4.0315843637244,0,0,0.582587178870671
"ctcf vs ctrl | 28C | 24hpf","binary_z",22,11,0,50,137.846189483932,50.0038202978484,14.224627560205,6.17537217155919,0.000999500249875062,5.9994768848234,9,4,0.580844451252417
"ctcf vs ctrl | 28C | 24hpf","s_z",22,11,0,50,50.8269412618826,49.9928530433802,15.1244053524682,0.0551484966889173,0.412793603198401,5.20279592909117,0,0,0.319812891486927
"ctcf vs ctrl | 28C | 24hpf","hinge_z",22,11,0,50,52.8589598098412,50.0136813923386,14.5619108523759,0.195391830532902,0.36231884057971,5.11702343890208,0,0,0.333913737087901
"ctcf vs ctrl | 28C | 24hpf","s_within_control",22,11,0,50,55.7625241696754,50.003335323481,12.4461344858106,0.462729119049798,0.286356821589205,4.0187441076102,0,0,0.449714080688584
"ctcf vs ctrl | 28C | 24hpf","s_within_crispant",22,11,0,50,43.8795623859313,49.9930929993693,11.4116411715467,-0.535727554129659,0.681159420289855,3.97460188083667,0,0,0.363868254542223
"ctcf vs ctrl | 28C | 24hpf","escaper_vs_control",22,11,0,50,135.240282826383,49.9938855006087,14.7779867459807,5.76847163223769,0.000499750124937531,5.88179441002832,9,4,1.13497984023467
"ctcf vs ctrl | 28C | 30hpf","binary_z",22,10,1,41,182.889530237344,40.9914812709643,14.5796331308176,9.7326213693569,0.000499750124937531,5.92089682351195,22,18,0.969103618123709
"ctcf vs ctrl | 28C | 30hpf","s_z",22,10,1,41,132.638647206112,40.9975152504151,14.3433340834825,6.38910949311493,0.000499750124937531,5.53143976837397,21,21,1.236894057912
"ctcf vs ctrl | 28C | 30hpf","hinge_z",22,10,1,41,130.688751977295,40.9900736093795,14.2681479345537,6.2866378158786,0.000499750124937531,5.45902275256166,23,20,1.25581769498285
"ctcf vs ctrl | 28C | 30hpf","s_within_control",22,10,1,41,43.1680846490625,40.9989146540501,7.63502651783853,0.28410772247409,0.385807096451774,4.06926078749325,0,0,0.6135644228719
"ctcf vs ctrl | 28C | 30hpf","s_within_crispant",22,10,1,41,58.778781847303,41.0086833746376,14.5573237536791,1.2206981704432,0.12543728135932,3.76873413130268,8,4,0.575329599179146
"ctcf vs ctrl | 28C | 30hpf","severe_vs_control",21,9,1,41,163.545795029198,40.9853851705979,13.4993758050736,9.0789686596129,0.000499750124937531,5.82300849059438,20,15,1.79989230053259
"ctcf vs ctrl | 28C | 36hpf","binary_z",23,12,0,64,324.132088642239,63.9948756304305,25.7786332565888,10.0911949218766,0.000499750124937531,6.12836097796213,38,25,1.36265713661598
"ctcf vs ctrl | 28C | 36hpf","s_z",23,12,0,64,289.835922271458,63.987868965835,25.3536112702962,8.90792443324326,0.000499750124937531,6.22518588639229,36,31,1.52833287814718
"ctcf vs ctrl | 28C | 36hpf","hinge_z",23,12,0,64,271.270490916133,63.983558921703,25.5595901119695,8.10994742428824,0.000499750124937531,6.08144057381695,36,30,1.5732180747261
"ctcf vs ctrl | 28C | 36hpf","s_within_control",23,12,0,64,70.9511892061153,64.0072567156432,13.0072572814918,0.533850629705978,0.288855572213893,4.13997562464474,0,0,3.11356798049523
"ctcf vs ctrl | 28C | 36hpf","s_within_crispant",23,12,0,64,140.411250866338,64.0114683948104,23.0032097319519,3.32126617814588,0.0104947526236882,4.48424717304435,10,8,0.845958232354689
"ctcf vs ctrl | 28C | 36hpf","severe_vs_control",20,9,0,64,334.586466386243,63.9916065385038,27.6428428686656,9.78896639297803,0.000499750124937531,5.84345376585956,40,34,2.9696286815434
"ctcf vs ctrl | 34C | 24hpf","binary_z",24,12,0,45,116.271759636392,44.9923817665122,12.8955846212785,5.52742508100521,0.000499750124937531,5.97174025955745,7,6,0.429816447293296
"ctcf vs ctrl | 34C | 24hpf","s_z",24,12,0,45,84.1663439270193,44.9918754492322,13.0135850312136,3.01027490763119,0.00849575212393803,5.73268727343319,3,1,0.674160001670415
"ctcf vs ctrl | 34C | 24hpf","hinge_z",24,12,0,45,81.7643675973265,44.9971355826998,13.6309546016416,2.69733361229145,0.015992003998001,5.71962144797777,2,1,0.688718519798905
"ctcf vs ctrl | 34C | 24hpf","s_within_control",24,12,0,45,38.5482649926221,44.9850338962392,11.1888082774808,-0.575286370450376,0.68615692153923,4.0640349463813,0,0,0.52400540682112
"ctcf vs ctrl | 34C | 24hpf","s_within_crispant",24,12,0,45,54.6758340039134,45.0073953516022,16.3536161382266,0.591211055132402,0.213893053473263,4.21783697994528,3,2,0.529130676622791
"ctcf vs ctrl | 34C | 24hpf","escaper_vs_control",19,7,0,45,100.285569542873,45.007276793253,10.5833137462469,5.22315543836384,0.000499750124937531,5.41441439710022,7,7,0.682100803960371
"ctcf vs ctrl | 34C | 24hpf","severe_vs_control",17,5,0,45,96.2788714917397,44.9879751050374,12.8533142337177,3.99048023366242,0.00349825087456272,5.21305348609455,9,5,1.29930130523411
"ctcf vs ctrl | 34C | 24hpf","severe_vs_escaper",12,5,0,45,67.3894528885539,45.0096826623078,16.4344853095776,1.36175668447638,0.0984507746126937,4.31001149091654,4,1,0.981853724345018
"ctcf vs ctrl | 34C | 30hpf","binary_z",23,11,1,54,267.822801552169,53.9934726456207,21.4134317025301,9.98575715826454,0.000499750124937531,5.95112881643494,32,27,1.74627222451289
"ctcf vs ctrl | 34C | 30hpf","s_z",23,11,1,54,274.856875371537,54.0545100343431,20.9095196766761,10.5598965806704,0.000499750124937531,6.21452138223893,35,32,1.33392321849479
"ctcf vs ctrl | 34C | 30hpf","hinge_z",23,11,1,54,271.535249018551,53.9922823572631,21.1050697710285,10.3076165595015,0.000499750124937531,6.10084790329948,37,33,1.62480361313549
"ctcf vs ctrl | 34C | 30hpf","s_within_control",23,11,1,54,52.0827921049694,54.0102853727782,9.95117298573268,-0.193695082034282,0.562218890554723,4.23925284008473,0,0,0.439496491104316
"ctcf vs ctrl | 34C | 30hpf","s_within_crispant",23,11,1,54,141.962571710662,53.9934196031448,19.8485627882498,4.43201621427193,0.00299850074962519,4.24114804819687,20,13,0.919736939272138
