"contrast","arm","cell_type","logFC","logCPM","F","p_value","q_value","score_z"
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","glial cell, floor plate (hpgd+)",0.161566296225297,11.5155496713405,1.24594421729398,0.264507300984948,0.837447489810921,1.27845864227762
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","glial cell, optic stalk",0.0697571208070724,11.5443204149882,0.341469163142985,0.559070289650582,0.874114791737587,0.670516456544856
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","glutamatergic neuron, forebrain",0.0423838651353225,13.9584996861199,0.133750874946785,0.714625835922826,0.874235107792521,0.543767551207167
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","glutamatergic neuron, hindbrain (anterior, pitx2+)",0.118875395900384,11.8907240161849,1.06836748780557,0.301481096331932,0.837447489810921,1.14811297044453
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","glutamatergic neuron, hindbrain (anterior)",-0.116764689390956,14.2152387659501,0.674042289831347,0.41177627861063,0.872726472042398,-1.38961997239829
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","glutamatergic neuron, hindbrain (lateral)",-0.126389449096558,11.7906676979245,0.639874878502145,0.423882768977123,0.872726472042398,-0.789187500323904
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","glutamatergic neuron, hindbrain (lhx9+)",-0.0369848068019726,13.0522285623157,0.265578279266087,0.606389380939221,0.874114791737587,-0.457743585629445
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","glutamatergic neuron, medulla oblongata (phox2bb+)",-0.0885642033618459,13.2994363192246,1.29754224981085,0.254844525527324,0.837447489810921,-1.30267902309128
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","glutamatergic neuron, midbrain-hindbrain boundary",-0.155059905741491,12.2602085602067,2.04301691428975,0.153114346712168,0.765571733560838,-1.73129621726721
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","glutamatergic neuron, spinal cord",-0.0411762968518425,13.7260951141209,0.266564915145836,0.60572152091312,0.874114791737587,-0.588184708601206
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","glutamatergic neuron, spinal cord (gpr139+)",-0.0396195614282151,12.3072605805533,0.196400484024583,0.657706001652688,0.874114791737587,-0.521947158860116
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","glutamatergic neuron, telencephalon (proximal to olfactory bulb)",0.0620607052545879,12.0320708476341,0.177696019205066,0.673421167048612,0.874114791737587,0.493274323320487
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1","hatching gland cell, hatching gland",-0.00356811526511156,12.1520005779859,0.000976097811010148,0.975080251571485,0.975080251571485,-0.0349227064144773
