k_lower,dimension,stratum,rows,too_small_rows,eligible_rows,row_recovery_vs_k0.90
0.75,genotype_raw,tfap2c_crispant,1365,115,288,4
0.75,genotype_raw,tfap2d_crispant,840,93,217,6
0.75,genotype_raw,tfap2e_crispant,1239,301,339,10
0.75,genotype_raw,tmem67_heterozygote,6802,879,4025,40
0.75,genotype_raw,tmem67_heterozygous,9466,2219,4429,356
0.75,genotype_raw,tmem67_homozygous,13286,2431,8230,203
0.75,genotype_raw,tmem67_unknown,228,133,34,3
0.75,genotype_raw,tmem67_wildtype,13651,4883,5156,284
0.75,genotype_raw,unavailable,327,0,178,0
0.75,genotype_raw,uncertain,31,6,18,2
0.75,genotype_raw,wfs1a-wfs1b,144,2,138,22
0.75,genotype_raw,wik,31861,9569,15930,464
0.75,genotype_raw,wik-ab,24223,12927,3943,213
0.75,genotype_raw,wik-ab_inj_ctrl,7620,2461,1098,76
0.75,chem_perturbation_raw,DMSO_6,279,23,223,0
0.75,chem_perturbation_raw,Fgf_025,1032,139,633,5
0.75,chem_perturbation_raw,Fgf_050,905,325,280,17
0.75,chem_perturbation_raw,Fgf_075,1376,318,671,7
0.75,chem_perturbation_raw,Fgf_100,2153,503,949,60
0.75,chem_perturbation_raw,Fgf_150,1214,422,276,5
