policy,dimension,stratum,rows,eligible_rows,row_recovery_vs_strict,row_loss_vs_strict
strict_exclusion_k0.90,chem_perturbation_raw,tri_1-30,2481,500,0,0
strict_exclusion_k0.90,chem_perturbation_raw,tri_1-35,2711,552,0,0
strict_exclusion_k0.90,chem_perturbation_raw,tri_1-40,2372,543,0,0
strict_exclusion_k0.90,chem_perturbation_raw,unavailable,502588,175426,0,0
strict_exclusion_k0.90,chem_perturbation_raw,wnt_i_11,26,24,0,0
strict_exclusion_k0.90,chem_perturbation_raw,wnt_i_12,25,24,0,0
strict_exclusion_k0.90,chem_perturbation_raw,wnt_i_13,225,150,0,0
strict_exclusion_k0.90,chem_perturbation_raw,wnt_i_13_13,9,6,0,0
strict_exclusion_k0.90,chem_perturbation_raw,wnt_i_14,24,24,0,0
strict_exclusion_k0.90,temperature_raw,19.0,50,25,0,0
strict_exclusion_k0.90,temperature_raw,22.0,44097,23149,0,0
strict_exclusion_k0.90,temperature_raw,24.0,264,150,0,0
strict_exclusion_k0.90,temperature_raw,25.0,25,7,0,0
strict_exclusion_k0.90,temperature_raw,28.0,569,475,0,0
strict_exclusion_k0.90,temperature_raw,28.5,21966,9284,0,0
strict_exclusion_k0.90,temperature_raw,30.0,462687,150351,0,0
strict_exclusion_k0.90,temperature_raw,32.0,190,157,0,0
strict_exclusion_k0.90,temperature_raw,33.5,27,7,0,0
strict_exclusion_k0.90,temperature_raw,34.0,794,581,0,0
strict_exclusion_k0.90,temperature_raw,34.2,89,87,0,0
strict_exclusion_k0.90,temperature_raw,34.4,9,7,0,0
strict_exclusion_k0.90,temperature_raw,35.0,777,525,0,0
strict_exclusion_k0.90,temperature_raw,35.1,50,48,0,0
strict_exclusion_k0.90,temperature_raw,unavailable,308,266,0,0
strict_exclusion_k0.90,segmentation_backend,sam2_video,20316,8094,0,0
strict_exclusion_k0.90,segmentation_backend,unavailable,511586,177025,0,0
strict_exclusion_k0.90,applicability,exclusion,531004,184382,0,0
strict_exclusion_k0.90,applicability,not_applicable,898,737,0,0
lower_diagnostic_upper_strict,experiment,20230531,7846,5216,1172,0
lower_diagnostic_upper_strict,experiment,20230602,8998,4060,613,0
lower_diagnostic_upper_strict,experiment,20230613,5421,3978,367,0
lower_diagnostic_upper_strict,experiment,20230615,4216,3292,525,0
lower_diagnostic_upper_strict,experiment,20230620,5460,3408,407,0
lower_diagnostic_upper_strict,experiment,20230622,3582,2093,187,0
lower_diagnostic_upper_strict,experiment,20230627,4193,3235,404,0
lower_diagnostic_upper_strict,experiment,20230629,3918,1314,189,0
lower_diagnostic_upper_strict,experiment,20240509_18ss,25,25,1,0
lower_diagnostic_upper_strict,experiment,20240509_24hpf,32,29,0,0
lower_diagnostic_upper_strict,experiment,20240510,59,57,0,0
lower_diagnostic_upper_strict,experiment,20240717,68,59,3,0
lower_diagnostic_upper_strict,experiment,20240718,99,93,0,0
lower_diagnostic_upper_strict,experiment,20240724,56,56,0,0
lower_diagnostic_upper_strict,experiment,20240725,64,53,0,0
lower_diagnostic_upper_strict,experiment,20240726,60,52,3,0
lower_diagnostic_upper_strict,experiment,20240813_24hpf,48,0,0,0
lower_diagnostic_upper_strict,experiment,20240813_30hpf,50,0,0,0
lower_diagnostic_upper_strict,experiment,20240813_36hpf,50,48,10,0
lower_diagnostic_upper_strict,experiment,20250501,24718,2831,512,0
lower_diagnostic_upper_strict,experiment,20250512,24569,10074,2966,0
lower_diagnostic_upper_strict,experiment,20250515_part2,3510,1964,613,0
lower_diagnostic_upper_strict,experiment,20250519,4179,3721,1172,0
lower_diagnostic_upper_strict,experiment,20250612_24hpf_ctrl_atf6,97,94,1,0
lower_diagnostic_upper_strict,experiment,20250612_24hpf_wfs1_ctcf,96,92,4,0
