policy,stratum,stratum_value,row_count,excluded_rows,physical_embryo_count,excluded_physical_embryos
strict_exclusion,chem_perturbation,SB505124,40,12,40,12
strict_exclusion,chem_perturbation,SU5402,40,19,40,19
strict_exclusion,chem_perturbation,2-DG,32,0,32,0
strict_exclusion,chem_perturbation,DMSO,96,8,96,8
strict_exclusion,chem_perturbation,leflunomide,32,1,32,1
strict_exclusion,chem_perturbation,LY294002,40,4,40,4
strict_exclusion,chem_perturbation,oligomycin,32,1,32,1
strict_exclusion,chem_perturbation,ruxolitibin,8,3,8,3
strict_exclusion,chem_perturbation,simvastatin,32,0,32,0
strict_exclusion,chem_perturbation,GNE-7883,32,0,32,0
strict_exclusion,chem_perturbation,ruxolitinib,24,0,24,0
strict_exclusion,chem_perturbation,SU6656,32,3,32,3
strict_exclusion,chem_perturbation,DMSO_24hpf,24,2,24,2
strict_exclusion,chem_perturbation,leflunomide_24hpf,24,0,24,0
strict_exclusion,chem_perturbation,oligomycin_24hpf,8,0,8,0
strict_exclusion,chem_perturbation,simvastatin_24hpf,16,0,16,0
strict_exclusion,chem_perturbation,2-DG_24hpf,24,1,24,1
strict_exclusion,chem_perturbation,rapamycin,24,3,24,3
strict_exclusion,chem_perturbation,control_24C,56,0,56,0
strict_exclusion,chem_perturbation,treatment_24C,56,8,56,8
strict_exclusion,chem_perturbation,control_28C,56,15,56,15
strict_exclusion,chem_perturbation,treatment_28C,56,35,56,35
strict_exclusion,chem_perturbation,control_34C,56,1,56,1
strict_exclusion,chem_perturbation,treatment_34C,56,32,56,32
strict_exclusion,chem_perturbation,treatment_28C_14hpf_wash,24,0,24,0
strict_exclusion,chem_perturbation,control_at_24hpf_28C,72,3,72,3
strict_exclusion,chem_perturbation,treatment_at_24hpf_28C,72,8,72,8
strict_exclusion,chem_perturbation,treatment_14hpf_wash_28C,24,0,24,0
strict_exclusion,chem_perturbation,treatment_24hpf_wash_28C,24,0,24,0
strict_exclusion,chem_perturbation,treatment_at_30hpf_28C,48,12,48,12
strict_exclusion,chem_perturbation,treatment_at_48hpf_28C,24,3,24,3
strict_exclusion,chem_perturbation,CP-673451,48,0,48,0
strict_exclusion,chem_perturbation,AG1478,48,0,48,0
strict_exclusion,chem_perturbation,VRI,48,0,48,0
strict_exclusion,chem_perturbation,BGJ398,32,4,32,4
strict_exclusion,chem_perturbation,<missing>,288,3,288,3
strict_exclusion,perturbation_domain,chemical,1464,220,1464,220
strict_exclusion,perturbation_domain,genetic,288,3,288,3
strict_exclusion,incubation_temperature_c,28.5,1752,223,1752,223
strict_exclusion,source_scope_resolved,seahub,1752,223,1752,223
strict_exclusion,calibration_status_resolved,placeholder,1752,223,1752,223
strict_exclusion,segmentation_backend,sam2_image_precomputed,1752,223,1752,223
strict_exclusion,acquisition_mode,snapshot,1752,223,1752,223
strict_exclusion,surface_area_qc_applicability,diagnostic_only,1752,223,1752,223
diagnostic_only,experiment_id,20260804_seahub_CHEM13_shard001,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_CHEM13_shard002,88,0,88,0
diagnostic_only,experiment_id,20260804_seahub_CHEM15_shard001,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_CHEM15_shard002,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_CHEM15_shard003,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_CHEM15_shard004,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_CHEM15_shard005,48,0,48,0
diagnostic_only,experiment_id,20260804_seahub_CHEM16_shard001,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_CHEM16_shard002,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_CHEM16_shard003,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_CHEM16_shard004,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_CHEM16_shard005,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_CHEM16_shard006,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_CHEM16_shard007,48,0,48,0
diagnostic_only,experiment_id,20260804_seahub_CHEM17_shard001,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_CHEM17_shard002,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_CHEM17_shard003,32,0,32,0
diagnostic_only,experiment_id,20260804_seahub_GENE10_shard001,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_GENE10_shard002,96,0,96,0
diagnostic_only,experiment_id,20260804_seahub_GENE10_shard003,96,0,96,0
diagnostic_only,stage_bin,60-72,296,0,296,0
diagnostic_only,stage_bin,>72,168,0,168,0
diagnostic_only,stage_bin,<18,400,0,400,0
diagnostic_only,stage_bin,18-24,376,0,376,0
diagnostic_only,stage_bin,36-48,424,0,424,0
diagnostic_only,stage_bin,30-36,88,0,88,0
diagnostic_only,genotype,ctrl,1464,0,1464,0
diagnostic_only,genotype,ctrl-inj,56,0,56,0
diagnostic_only,genotype,her1,24,0,24,0
