k_lower,stratum,stratum_value,row_count,flagged_rows,recovered_rows_vs_production,physical_embryo_count,flagged_physical_embryos
0.85,perturbation_domain,genetic,288,0,3,288,0
0.85,incubation_temperature_c,28.5,1752,129,94,1752,129
0.85,source_scope_resolved,seahub,1752,129,94,1752,129
0.85,calibration_status_resolved,placeholder,1752,129,94,1752,129
0.85,segmentation_backend,sam2_image_precomputed,1752,129,94,1752,129
0.85,acquisition_mode,snapshot,1752,129,94,1752,129
0.85,surface_area_qc_applicability,diagnostic_only,1752,129,94,1752,129
0.9,experiment_id,20260804_seahub_CHEM13_shard001,96,41,0,96,41
0.9,experiment_id,20260804_seahub_CHEM13_shard002,88,32,0,88,32
0.9,experiment_id,20260804_seahub_CHEM15_shard001,96,5,0,96,5
0.9,experiment_id,20260804_seahub_CHEM15_shard002,96,3,0,96,3
0.9,experiment_id,20260804_seahub_CHEM15_shard003,96,0,0,96,0
0.9,experiment_id,20260804_seahub_CHEM15_shard004,96,5,0,96,5
0.9,experiment_id,20260804_seahub_CHEM15_shard005,48,9,0,48,9
0.9,experiment_id,20260804_seahub_CHEM16_shard001,96,27,0,96,27
0.9,experiment_id,20260804_seahub_CHEM16_shard002,96,34,0,96,34
0.9,experiment_id,20260804_seahub_CHEM16_shard003,96,24,0,96,24
0.9,experiment_id,20260804_seahub_CHEM16_shard004,96,0,0,96,0
0.9,experiment_id,20260804_seahub_CHEM16_shard005,96,6,0,96,6
0.9,experiment_id,20260804_seahub_CHEM16_shard006,96,11,0,96,11
0.9,experiment_id,20260804_seahub_CHEM16_shard007,48,15,0,48,15
0.9,experiment_id,20260804_seahub_CHEM17_shard001,96,0,0,96,0
0.9,experiment_id,20260804_seahub_CHEM17_shard002,96,4,0,96,4
0.9,experiment_id,20260804_seahub_CHEM17_shard003,32,4,0,32,4
0.9,experiment_id,20260804_seahub_GENE10_shard001,96,3,0,96,3
0.9,experiment_id,20260804_seahub_GENE10_shard002,96,0,0,96,0
0.9,experiment_id,20260804_seahub_GENE10_shard003,96,0,0,96,0
0.9,stage_bin,60-72,296,69,0,296,69
0.9,stage_bin,>72,168,48,0,168,48
0.9,stage_bin,<18,400,35,0,400,35
0.9,stage_bin,18-24,376,61,0,376,61
0.9,stage_bin,36-48,424,10,0,424,10
0.9,stage_bin,30-36,88,0,0,88,0
0.9,genotype,ctrl,1464,220,0,1464,220
0.9,genotype,ctrl-inj,56,3,0,56,3
0.9,genotype,her1,24,0,0,24,0
0.9,genotype,"her1,her7",24,0,0,24,0
0.9,genotype,her7,24,0,0,24,0
0.9,genotype,prdm1a,16,0,0,16,0
0.9,genotype,zeb1a,16,0,0,16,0
0.9,genotype,"zeb1a,zeb1b",16,0,0,16,0
0.9,genotype,zeb1b,16,0,0,16,0
0.9,genotype,zeb2a,16,0,0,16,0
0.9,genotype,"zeb2a,zeb2b",16,0,0,16,0
0.9,genotype,zeb2b,16,0,0,16,0
0.9,genotype,"meis1a,1b",8,0,0,8,0
0.9,genotype,"meis2a,2b",8,0,0,8,0
0.9,genotype,meis1a,8,0,0,8,0
0.9,genotype,meis1b,8,0,0,8,0
0.9,genotype,meis2a,8,0,0,8,0
0.9,genotype,meis2b,8,0,0,8,0
0.9,chem_perturbation,ctrl,40,15,0,40,15
0.9,chem_perturbation,DMH1,32,12,0,32,12
0.9,chem_perturbation,LY411575,32,15,0,32,15
0.9,chem_perturbation,SB505124,40,12,0,40,12
0.9,chem_perturbation,SU5402,40,19,0,40,19
0.9,chem_perturbation,2-DG,32,0,0,32,0
0.9,chem_perturbation,DMSO,96,8,0,96,8
0.9,chem_perturbation,leflunomide,32,1,0,32,1
0.9,chem_perturbation,LY294002,40,4,0,40,4
0.9,chem_perturbation,oligomycin,32,1,0,32,1
0.9,chem_perturbation,ruxolitibin,8,3,0,8,3
0.9,chem_perturbation,simvastatin,32,0,0,32,0
0.9,chem_perturbation,GNE-7883,32,0,0,32,0
0.9,chem_perturbation,ruxolitinib,24,0,0,24,0
0.9,chem_perturbation,SU6656,32,3,0,32,3
0.9,chem_perturbation,DMSO_24hpf,24,2,0,24,2
0.9,chem_perturbation,leflunomide_24hpf,24,0,0,24,0
0.9,chem_perturbation,oligomycin_24hpf,8,0,0,8,0
0.9,chem_perturbation,simvastatin_24hpf,16,0,0,16,0
0.9,chem_perturbation,2-DG_24hpf,24,1,0,24,1
0.9,chem_perturbation,rapamycin,24,3,0,24,3
0.9,chem_perturbation,control_24C,56,0,0,56,0
0.9,chem_perturbation,treatment_24C,56,8,0,56,8
0.9,chem_perturbation,control_28C,56,15,0,56,15
0.9,chem_perturbation,treatment_28C,56,35,0,56,35
0.9,chem_perturbation,control_34C,56,1,0,56,1
0.9,chem_perturbation,treatment_34C,56,32,0,56,32
0.9,chem_perturbation,treatment_28C_14hpf_wash,24,0,0,24,0
0.9,chem_perturbation,control_at_24hpf_28C,72,3,0,72,3
0.9,chem_perturbation,treatment_at_24hpf_28C,72,8,0,72,8
0.9,chem_perturbation,treatment_14hpf_wash_28C,24,0,0,24,0
0.9,chem_perturbation,treatment_24hpf_wash_28C,24,0,0,24,0
0.9,chem_perturbation,treatment_at_30hpf_28C,48,12,0,48,12
0.9,chem_perturbation,treatment_at_48hpf_28C,24,3,0,24,3
0.9,chem_perturbation,CP-673451,48,0,0,48,0
0.9,chem_perturbation,AG1478,48,0,0,48,0
0.9,chem_perturbation,VRI,48,0,0,48,0
0.9,chem_perturbation,BGJ398,32,4,0,32,4
0.9,chem_perturbation,<missing>,288,3,0,288,3
0.9,perturbation_domain,chemical,1464,220,0,1464,220
0.9,perturbation_domain,genetic,288,3,0,288,3
0.9,incubation_temperature_c,28.5,1752,223,0,1752,223
0.9,source_scope_resolved,seahub,1752,223,0,1752,223
0.9,calibration_status_resolved,placeholder,1752,223,0,1752,223
0.9,segmentation_backend,sam2_image_precomputed,1752,223,0,1752,223
