scope,perturbation_domain,atomic_perturbation,corpus_dataset_count,well_count,gross_embryos,observed_unique_physical_embryos,gross_embryo_timepoints,gross_embryo_z_observations,confirmed_usable_timepoints,projected_usable_timepoints,projected_usable_z_observations
SeaHub,genetic,tbxta,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,tbxtb,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,tead1a,1,96,96.0,96,96.0,96.0,0,94.96368989205104,94.96368989205104
SeaHub,genetic,tead1b,1,72,72.0,72,72.0,72.0,0,71.22276741903828,71.22276741903828
SeaHub,genetic,tead2,1,24,24.0,24,24.0,24.0,0,23.74092247301276,23.74092247301276
SeaHub,genetic,tead3b,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,tfap2a,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,genetic,tfap2b,1,32,32.0,32,32.0,32.0,0,31.654563297350343,31.654563297350343
SeaHub,genetic,twist1a,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,twist1b,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,twist2,1,64,64.0,64,64.0,64.0,0,63.309126594700686,63.309126594700686
SeaHub,genetic,wt1a,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,wt1b,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,zeb1a,1,80,80.0,80,80.0,80.0,0,79.13640824337585,79.13640824337585
SeaHub,genetic,zeb1b,1,80,80.0,80,80.0,80.0,0,79.13640824337585,79.13640824337585
SeaHub,genetic,zeb2a,1,80,80.0,80,80.0,80.0,0,79.13640824337585,79.13640824337585
SeaHub,genetic,zeb2b,1,80,80.0,80,80.0,80.0,0,79.13640824337585,79.13640824337585
SeaHub,genetic,zfpm1,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,zfpm2a,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,zfpm2b,1,48,48.0,48,48.0,48.0,0,47.48184494602552,47.48184494602552
SeaHub,genetic,zic2a,1,80,80.0,80,80.0,80.0,0,79.13640824337585,79.13640824337585
SeaHub,genetic,zic2b,1,80,80.0,80,80.0,80.0,0,79.13640824337585,79.13640824337585
YX1,chemical,Notch inhibitor,1,64,72.0,54,2520.0,63000.0,0,918.3036686906194,22957.591717265488
YX1,chemical,SHH inhibitor,1,80,114.0,114,9234.0,83106.0,0,3364.927014559198,30284.343131032783
YX1,chemical,TGFβ inhibitor,1,64,90.0,62,4320.0,64800.0,0,1574.2348606124904,23613.52290918736
YX1,chemical,Wnt inhibitor,1,40,97.0,88,4462.0,49082.0,0,1625.9805435307712,17885.785978838485
