stage,region,n_images,n_pixels,mean,p50,p95,p99,fraction_ge_245,fraction_ge_250,fraction_eq_255
legacy_reblend_r50,mask,93,2190031,112.65115105676587,108,233,248,0.018225312792376,0.007872947917175601,0.0017205235907619572
legacy_reblend_r60,all,93,13713408,27.132462185913234,10,154,227,0.002612990148036141,0.0011159151685707885,0.00023721309830495818
legacy_reblend_r60,core_ge_8px,93,1669433,131.29877389508894,133,236,249,0.021464173764385874,0.00916658530171621,0.0019485657705340675
legacy_reblend_r60,fixed_gt30,93,2104316,119.31231478542196,111,232,248,0.01702833604838817,0.0072721967613229195,0.0015458704871321608
legacy_reblend_r60,mask,93,2190031,110.99472792850878,106,231,248,0.016361868850258286,0.006987572322035624,0.0014853671021095136
legacy_reblend_r75,all,93,13713408,26.835723038357788,10,149,223,0.002033046781660693,0.0008135103979988053,0.00015670794597520907
legacy_reblend_r75,core_ge_8px,93,1669433,128.17647428797682,129,233,248,0.016700280873805658,0.006682508372603153,0.0012872634002083342
legacy_reblend_r75,fixed_gt30,93,2106823,116.44080731983655,107,229,246,0.013233195194850255,0.005295176671224873,0.0010200192422429412
legacy_reblend_r75,mask,93,2190031,108.14235095302304,102,228,246,0.012730413405107052,0.005093991820207111,0.0009812646487652459
old_ff_clahe_current_geometry_6p5,all,93,13713408,73.1528892744969,50,197,236,0.004699925795250896,0.0021085203619698326,4.564875485364397e-05
old_ff_clahe_current_geometry_6p5,core_ge_8px,93,1165245,148.29312633823787,152,242,252,0.03944234903389416,0.018726533904886954,0.0003887594454385129
old_ff_clahe_current_geometry_6p5,fixed_gt30,93,10717205,88.5038868809545,69,206,239,0.0060138814177763695,0.0026979982187519975,5.841075168385787e-05
old_ff_clahe_current_geometry_6p5,mask,93,1650963,147.171141327819,149,241,251,0.03550352127818734,0.016318354802621258,0.0003355617297298607
old_ff_raw_current_geometry_6p5,all,93,13713408,64.81029755696031,40,190,223,0.000515262143443847,3.4418869474313025e-05,0.0
