snip_id,regenerated_snip_id,comparable,legacy_shape,regenerated_shape,orientation_flipped,mean_abs_diff,rmse,max_abs_diff,p99_abs_diff,frac_pixels_above_floor,n_pixels_above_floor,legacy_mean,regenerated_mean,legacy_frac_saturated,regenerated_frac_saturated,legacy_foreground_px,regenerated_foreground_px
20250612_30hpf_ctrl_atf6_F07_e00_t0000,20250612_30hpf_ctrl_atf6_F07_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,7.962843153211805,13.901682448622676,190,63.0,0.7504340277777778,110656,22.18692355685764,26.771647135416668,0.0007663302951388889,0.0005018446180555555,147026,147456
20250612_30hpf_ctrl_atf6_F08_e00_t0000,20250612_30hpf_ctrl_atf6_F08_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,6.400682237413195,9.184181819425959,129,37.0,0.7066582573784722,104201,20.478556315104168,25.00015597873264,3.390842013888889e-05,0.0,147040,147456
20250612_30hpf_ctrl_atf6_F09_e00_t0000,20250612_30hpf_ctrl_atf6_F09_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,5.059956868489583,7.470777760384261,112,29.0,0.5405951605902778,79714,25.205281575520832,27.724683973524307,0.00022379557291666666,0.0003458658854166667,147058,147456
20250612_30hpf_ctrl_atf6_F10_e00_t0000,20250612_30hpf_ctrl_atf6_F10_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,7.975457085503472,12.773840462553164,138,55.0,0.6961127387152778,102646,25.07274712456597,29.059163411458332,0.00023735894097222222,0.00014241536458333334,147034,147456
20250612_30hpf_ctrl_atf6_F11_e00_t0000,20250612_30hpf_ctrl_atf6_F11_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,25.493265787760418,48.532313328459,250,184.0,0.8154839409722222,120248,31.803059895833332,38.845194498697914,0.001315646701388889,0.0013495551215277778,147091,147456
20250612_30hpf_ctrl_atf6_G01_e00_t0000,20250612_30hpf_ctrl_atf6_G01_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,6.790045844184028,10.658222989089516,187,46.0,0.69549560546875,102555,20.22827826605903,24.52582465277778,6.103515625e-05,0.0,147062,147456
20250612_30hpf_ctrl_atf6_G02_e00_t0000,20250612_30hpf_ctrl_atf6_G02_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,8.217719184027779,14.869242090690516,192,67.0,0.6939629448784722,102329,24.48324924045139,28.312459309895832,0.00025092230902777775,6.103515625e-05,147057,147452
20250612_30hpf_ctrl_atf6_G03_e00_t0000,20250612_30hpf_ctrl_atf6_G03_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,6.747138129340278,10.196372403931349,142,42.0,0.7001478407118056,103241,26.495530870225693,30.693678114149307,0.0003865559895833333,0.0003662109375,147106,147456
20250612_30hpf_ctrl_atf6_G04_e00_t0000,20250612_30hpf_ctrl_atf6_G04_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,7.019619411892361,10.915154815894638,183,46.0,0.7029351128472222,103652,26.33792453342014,30.607774522569443,0.00023735894097222222,0.0005221896701388889,147147,147456
20250612_30hpf_ctrl_atf6_G05_e00_t0000,20250612_30hpf_ctrl_atf6_G05_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,7.949659559461805,14.892986916634458,185,69.0,0.6527167426215278,96247,26.379638671875,29.916917588975693,0.0004611545138888889,0.00031195746527777775,147111,147456
