experiment_order,experiment_id,path,stage_schema,row_count,unique_snip_count,unique_embryo_count,finite_stage_count,missing_stage_count,stage_min,stage_max,model_versions,unexpected_status_count,max_snips_per_embryo,trajectory_kind,ordered_finite_step_count,negative_stage_step_count,zero_stage_step_count,median_stage_step_hpf,p95_stage_step_hpf,max_stage_step_hpf
62,20250624_chem02_34C_T00_1243,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250624_chem02_34C_T00_1243/stage_predictions/20250624_chem02_34C_T00_1243_stage_predictions.csv,with_status,78,78,78,78,0,28.0,28.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
63,20250624_chem02_34C_T01_1739,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250624_chem02_34C_T01_1739/stage_predictions/20250624_chem02_34C_T01_1739_stage_predictions.csv,with_status,75,75,75,75,0,34.0,34.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
64,20250624_chem02_35C_T00_1216,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250624_chem02_35C_T00_1216/stage_predictions/20250624_chem02_35C_T00_1216_stage_predictions.csv,with_status,81,81,81,81,0,28.0,28.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
65,20250624_chem02_35C_T01_1711,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250624_chem02_35C_T01_1711/stage_predictions/20250624_chem02_35C_T01_1711_stage_predictions.csv,with_status,84,84,84,84,0,34.0,34.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
66,20250625_chem02_28C_T02_1332,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250625_chem02_28C_T02_1332/stage_predictions/20250625_chem02_28C_T02_1332_stage_predictions.csv,with_status,96,96,96,96,0,28.0,28.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
67,20250625_chem02_34C_T02_1301,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250625_chem02_34C_T02_1301/stage_predictions/20250625_chem02_34C_T02_1301_stage_predictions.csv,with_status,82,82,82,82,0,56.0,56.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
68,20250625_chem02_35C_T02_1228,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250625_chem02_35C_T02_1228/stage_predictions/20250625_chem02_35C_T02_1228_stage_predictions.csv,with_status,84,84,84,84,0,55.0,55.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
69,20250703_chem3_28C_T00_1325,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250703_chem3_28C_T00_1325/stage_predictions/20250703_chem3_28C_T00_1325_stage_predictions.csv,with_status,61,61,61,0,61,,,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
70,20250703_chem3_34C_T00_1131,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250703_chem3_34C_T00_1131/stage_predictions/20250703_chem3_34C_T00_1131_stage_predictions.csv,with_status,58,58,58,0,58,,,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
71,20250703_chem3_34C_T01_1457,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250703_chem3_34C_T01_1457/stage_predictions/20250703_chem3_34C_T01_1457_stage_predictions.csv,with_status,59,59,59,0,59,,,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
72,20250703_chem3_35C_T00_1101,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250703_chem3_35C_T00_1101/stage_predictions/20250703_chem3_35C_T00_1101_stage_predictions.csv,with_status,65,65,65,0,65,,,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
73,20250703_chem3_35C_T01_1437,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250703_chem3_35C_T01_1437/stage_predictions/20250703_chem3_35C_T01_1437_stage_predictions.csv,with_status,58,58,58,0,58,,,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
74,20250716_chem4_28C_T00_1158,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20250716_chem4_28C_T00_1158/stage_predictions/20250716_chem4_28C_T00_1158_stage_predictions.csv,with_status,87,87,87,87,0,28.0,28.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
