experiment_id,source,authority,path,exists,row_count,size_bytes,mtime_ns,sha256
,experiment_list,caller argument,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/integration/experiments.txt,True,,2906.0,1.7860361293188782e+18,67e56843cd661e2a787b8edb8b228948f5cc1151cbc1e22c5a971ef4d5cd8677
,experiment_manifest,caller argument,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/integration/experiment_manifest.csv,True,,74784.0,1.786036129317756e+18,bbdc1d634be90abe167c1d957a719c13cc757a9a4c19cf423847eda41b2f7a17
,legacy_age_key,caller argument,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/training_data/models/metadata/age_key.csv,True,,15063146.0,1.7461676301768225e+18,4fa7473b0d70255fd796a8b0dd3d23023c1f60c15847e06f65a4e3312cc608f6
,surface_area_stage_seam,Track D handoff,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq-core-e/docs/refactors/core-model/reports/surface_area_qc/stage_axis_sensitivity_input.csv,True,,2327429.0,1.787883051206509e+18,f10dde5cc668683b0572dfba022cc34785c577b21f2bd5b0d39925518e572dde
,surface_area_source_inventory,Track D handoff,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq-core-e/docs/refactors/core-model/reports/surface_area_qc/source_inventory.csv,True,,123210.0,1.787883051177023e+18,628de8a8ccc2fbb1c4ae7f42a638c195050ba4cd4e31c038bb8b4bf2c9867858
,surface_area_reference,caller argument / packaged v1,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq-core-e/src/data_pipeline/quality_control/surface_area_qc/references/surface_area_reference_v1.csv,True,,16872.0,1.7878830993101071e+18,3bffedb6a9ef96ec58e7e85b1e37ffb4983b2120d1a7607563a58ae64bb6c960
,legacy_manual_curation_candidate,src/build/build05_make_training_snips.py:21-48,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/metadata/combined_metadata_files/curation/curation_df.csv,False,,,,
20260804_seahub_CHEM13_shard001,stage_predictions,tracked_paths.py merged template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260804_seahub_CHEM13_shard001/stage_predictions/20260804_seahub_CHEM13_shard001_stage_predictions.csv,True,,27892.0,1.7860393049474204e+18,3dcc3b74e4043b50f6e1b5c95d40ce3042ce3a0a0d32e6cd8d490c916430142b
20260804_seahub_CHEM13_shard001,declared_frame_inventory,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM13_shard001/dropin_frame_inventory.csv,True,,54695.0,1.786036114905351e+18,8d4de6680c9b308233c4b62a86061477a84cf71fcb1fd06a2f6ac24494445ab3
20260804_seahub_CHEM13_shard001,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM13_shard001/plate_metadata.csv,True,,61536.0,1.786036114964193e+18,968cf1f56e9f55e375ad0978fb2a93619f650f189ce01e1ea24f88a9d37926f8
