path,matched_terms,line_numbers,role_class
results/mcolon/20260324_tfap2_crispant_first_pass/01_plot_combined_tfap2_genotype_trends.py,predicted_stage_hpf,229|442|468,launch_or_analysis_script
results/mcolon/20260324_tfap2_crispant_first_pass/scripts/common.py,predicted_stage_hpf,17,launch_or_analysis_script
results/mcolon/20260324_tfap2_crispant_first_pass/scripts/data_gen/02_run_classification.py,predicted_stage_hpf,23|53|79,launch_or_analysis_script
results/mcolon/20260324_tfap2_crispant_first_pass/scripts/data_viz/01_plot_genotype_trends.py,predicted_stage_hpf,37,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/01_all_crispants_vs_wik_ab.py,predicted_stage_hpf,222|447|473,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/02_classification_only.py,predicted_stage_hpf,283|354|387,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/03_consistent_misclassification.py,predicted_stage_hpf,88|392,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/04_plot_pairwise_signed_margin.py,predicted_stage_hpf,22,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/06_rank_pbx4_morphology_drivers.py,predicted_stage_hpf,155|170|231|344,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/07_rank_pairwise_continuum_drivers.py,predicted_stage_hpf,218|233,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/08_all_pairs_overlap_analysis.py,predicted_stage_hpf,125,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/09_phenotypic_positioning.py,predicted_stage_hpf,533,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/attrition_qc/config.py,predicted_stage_hpf,33,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/attrition_qc/data.py,predicted_stage_hpf,16,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/attrition_qc/examples.py,predicted_stage_hpf,42|109|110|490|494|495|497|498,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/attrition_qc/review.py,predicted_stage_hpf,34|113|118|140|169|217|233|254|308|332|406|430|689|716|717|729|731|739|742|752,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/phenotypic_positioning/config.py,predicted_stage_hpf,41,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/test_njobs_scaling.py,predicted_stage_hpf,39|82|87|88|89|91|113,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/tests/test_attrition_qc.py,predicted_stage_hpf,33|53|73|96|120|149,launch_or_analysis_script
results/mcolon/20260326_pbx_crispant_analysis/scripts/tests/test_attrition_qc_examples.py,predicted_stage_hpf,38|64|87|110|128|138|146|160|169,launch_or_analysis_script
results/mcolon/20260329_pbx_crispant_analysis_cont/02_bridge_multiclass_positioning.py,predicted_stage_hpf,153,launch_or_analysis_script
results/mcolon/20260329_pbx_crispant_analysis_cont/03_bridge_feature_over_time.py,predicted_stage_hpf,104|110|135,launch_or_analysis_script
results/mcolon/20260329_pbx_crispant_analysis_cont/08_pairwise_probe_fingerprint.py,predicted_stage_hpf,88,launch_or_analysis_script
results/mcolon/20260329_pbx_crispant_analysis_cont/11_wikab_injctrl_lineage_audit.py,predicted_stage_hpf,116,launch_or_analysis_script
results/mcolon/20260329_pbx_crispant_analysis_cont/12_wikab_injctrl_within_bin_null_audit.py,predicted_stage_hpf,129,launch_or_analysis_script
results/mcolon/20260329_pbx_crispant_analysis_cont/common.py,predicted_stage_hpf,93,launch_or_analysis_script
results/mcolon/20260329_pbx_crispant_analysis_cont/rerun_20260329_no_yolk/01_all_crispants_vs_wik_ab.py,predicted_stage_hpf,226|451|477,launch_or_analysis_script
results/mcolon/20260329_pbx_crispant_analysis_cont/rerun_20260329_no_yolk/02_classification_only.py,predicted_stage_hpf,277|348|381,launch_or_analysis_script
