alternative_axis,window_hpf,stratum,stratum_value,sampled_anchor_count,median_jaccard,p05_jaccard,p95_jaccard,median_baseline_candidate_count,median_alternative_candidate_count
legacy_mlp,3.0,experiment_id,8,3,0.8029197080291971,0.6368113673546438,0.8287613585580217,196.0,163.0
legacy_mlp,3.0,experiment_id,9,5,0.3969298245614035,0.25882245704605955,0.561116686369806,4116.0,1982.0
nominal_clock,1.5,experiment_id,1,5,0.172008547008547,0.11396775116735852,0.25702572213178304,1086.0,1108.0
nominal_clock,1.5,experiment_id,10,1,0.9775280898876404,0.9775280898876404,0.9775280898876404,89.0,87.0
nominal_clock,1.5,experiment_id,15,2,0.04504437283510528,0.02036191574866323,0.06972682992154733,2170.0,1926.5
nominal_clock,1.5,experiment_id,17,4,0.4655948383698729,0.0983309541657161,0.5533263488737559,534.5,618.0
nominal_clock,1.5,experiment_id,2,6,0.2810364680676195,0.2315785738445556,0.4491690059720146,1971.0,2300.5
nominal_clock,1.5,experiment_id,20,4,0.626810064935065,0.21124823144335342,0.7490733225108225,219.0,185.0
nominal_clock,1.5,experiment_id,21,7,0.5172955974842768,0.41516713903937247,0.8650766609880747,400.0,565.0
nominal_clock,1.5,experiment_id,22,1,0.5347593582887701,0.5347593582887701,0.5347593582887701,150.0,137.0
nominal_clock,1.5,experiment_id,23,3,0.49193548387096775,0.45044354838709677,0.6467935483870968,185.0,162.0
nominal_clock,1.5,experiment_id,24,3,0.8382352941176471,0.17007753154623645,0.9093874391862008,136.0,122.0
nominal_clock,1.5,experiment_id,25,5,0.9139784946236559,0.36569068835967333,0.9662421669698807,255.0,279.0
nominal_clock,1.5,experiment_id,26,7,0.75,0.10504058477457794,1.0,268.0,222.0
nominal_clock,1.5,experiment_id,28,5,0.16978193146417445,0.12103755929428645,0.616537320246519,433.0,545.0
nominal_clock,1.5,experiment_id,3,6,0.20759599022143288,0.14751995748188643,0.34734738737967696,1271.5,1139.5
nominal_clock,1.5,experiment_id,32,9,0.6757990867579908,0.037048720666726764,0.8405405405405405,322.0,287.0
nominal_clock,1.5,experiment_id,33,9,0.8869346733668342,0.8557399609736058,1.0,409.0,368.0
nominal_clock,1.5,experiment_id,36,14,0.7102658053442663,0.39778948372026507,0.8867697621436335,1292.5,1251.0
